Transaction Date,Customer ID,Description,Stock Code,Invoice No,Quantity,Sales,Unit Price,Date,Category,Profit,Cost,Total Profit
2020-12-01 10:39:00,13408.0,Dog and Puppy Pads,85123A,536394.0,6,91.8,15.3,2020-12-01,Disposables,4.300000000000001,11,25.800000000000004
2020-12-01 10:47:00,13767.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536395.0,2,47.4,23.7,2020-12-01,Grooming,10.7,13,21.4
2020-12-01 10:47:00,13767.0,Pet Odor Eliminator,84879,536395.0,6,60.84,10.14,2020-12-01,Cleanig Supplies,2.1400000000000006,8,12.840000000000003
2020-12-01 10:51:00,17850.0,Dog and Puppy Pads,85123A,536396.0,1,15.3,15.3,2020-12-01,Disposables,4.300000000000001,11,4.300000000000001
2020-12-01 10:52:00,13448.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536398.0,1,23.7,23.7,2020-12-01,Grooming,10.7,13,10.7
2020-12-01 11:21:00,15862.0,Dog and Puppy Pads,85123A,536401.0,1,17.7,17.7,2020-12-01,Disposables,6.699999999999999,11,6.699999999999999
2020-12-01 11:21:00,15862.0,Indoor Pet Camera (Wi-Fi),22502,536401.0,1,35.7,35.7,2020-12-01,Electronics,-7.299999999999997,43,-7.299999999999997
2020-12-01 11:21:00,15862.0,Pet Grooming Brush,20725,536401.0,1,9.9,9.9,2020-12-01,Grooming,0.9000000000000004,9,0.9000000000000004
2020-12-01 11:22:00,15513.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536402.0,7,107.1,15.3,2020-12-01,Disposables,-2.6999999999999993,18,-18.899999999999995
2020-12-01 11:29:00,16218.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536404.0,6,30.6,5.1,2020-12-01,Food,0.09999999999999964,5,0.5999999999999979
2020-12-01 11:33:00,17850.0,Dog and Puppy Pads,85123A,536406.0,2,30.6,15.3,2020-12-01,Disposables,4.300000000000001,11,8.600000000000001
2020-12-01 11:41:00,14307.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536408.0,1,23.7,23.7,2020-12-01,Grooming,10.7,13,10.7
2020-12-01 11:41:00,14307.0,Pet Odor Eliminator,84879,536408.0,2,20.28,10.14,2020-12-01,Cleanig Supplies,2.1400000000000006,8,4.280000000000001
2020-12-01 11:45:00,17908.0,Earth Rated Dog Poop Bags,85099B,536409.0,1,11.7,11.7,2020-12-01,Disposables,2.6999999999999993,9,2.6999999999999993
2020-12-01 11:45:00,17908.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536409.0,1,5.1,5.1,2020-12-01,Food,0.09999999999999964,5,0.09999999999999964
2020-12-01 11:49:00,17920.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536412.0,1,17.7,17.7,2020-12-01,Disposables,-0.3000000000000007,18,-0.3000000000000007
2020-12-01 11:49:00,17920.0,Pet Grooming Brush,20725,536412.0,1,9.9,9.9,2020-12-01,Grooming,0.9000000000000004,9,0.9000000000000004
2020-12-01 11:49:00,17920.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536412.0,1,5.1,5.1,2020-12-01,Food,0.09999999999999964,5,0.09999999999999964
2020-12-01 11:57:00,12838.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536415.0,1,17.7,17.7,2020-12-01,Disposables,-0.3000000000000007,18,-0.3000000000000007
2020-12-01 12:08:00,13758.0,ProBiotic Supplements for Dogs,79321,536425.0,2,59.4,29.7,2020-12-01,Supplements,0.6999999999999993,29,1.3999999999999986
2020-12-01 12:22:00,14849.0,Pet Odor Eliminator,84879,536460.0,4,40.56,10.14,2020-12-01,Cleanig Supplies,2.1400000000000006,8,8.560000000000002
2020-12-01 12:23:00,14849.0,Rechargeable Pet Nail Grinder,22960,536466.0,1,25.5,25.5,2020-12-01,Grooming,5.5,20,5.5
2020-12-01 12:23:00,17968.0,Earth Rated Dog Poop Bags,85099B,536464.0,1,11.7,11.7,2020-12-01,Disposables,2.6999999999999993,9,2.6999999999999993
2020-12-01 12:23:00,17968.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536464.0,1,17.7,17.7,2020-12-01,Disposables,-0.3000000000000007,18,-0.3000000000000007
2020-12-01 12:23:00,17968.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536464.0,1,11.7,11.7,2020-12-01,Food,-2.3000000000000007,14,-2.3000000000000007
2020-12-01 12:23:00,17968.0,Pet Odor Eliminator,84879,536464.0,2,20.28,10.14,2020-12-01,Cleanig Supplies,2.1400000000000006,8,4.280000000000001
2020-12-01 12:23:00,17968.0,Rechargeable Pet Nail Grinder,22960,536464.0,1,25.5,25.5,2020-12-01,Grooming,5.5,20,5.5
2020-12-01 12:23:00,17968.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536464.0,1,5.1,5.1,2020-12-01,Food,0.09999999999999964,5,0.09999999999999964
2020-12-01 12:27:00,16210.0,Canned Cat Food,21137,536477.0,80,1627.2,20.34,2020-12-01,Food,-0.6600000000000001,21,-52.80000000000001
2020-12-01 12:27:00,16210.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536477.0,3,197.1,65.7,2020-12-01,Food,10.700000000000003,55,32.10000000000001
2020-12-01 12:31:00,17897.0,Rechargeable Pet Nail Grinder,22960,536488.0,2,51.0,25.5,2020-12-01,Grooming,5.5,20,11.0
2020-12-01 12:36:00,16552.0,Dog and Puppy Pads,85123A,536502.0,1,17.7,17.7,2020-12-01,Disposables,6.699999999999999,11,6.699999999999999
2020-12-01 12:36:00,16552.0,Pet Odor Eliminator,84879,536502.0,3,30.42,10.14,2020-12-01,Cleanig Supplies,2.1400000000000006,8,6.420000000000002
2020-12-01 12:36:00,16552.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536502.0,1,76.5,76.5,2020-12-01,Food,21.5,55,21.5
2020-12-01 12:38:00,17897.0,Rechargeable Pet Nail Grinder,22960,,-1,-25.5,25.5,2020-12-01,Grooming,5.5,20,-20.0
2020-12-01 12:43:00,14729.0,Dog and Puppy Pads,85123A,536520.0,1,17.7,17.7,2020-12-01,Disposables,6.699999999999999,11,6.699999999999999
2020-12-01 12:43:00,14729.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536520.0,1,5.1,5.1,2020-12-01,Food,0.09999999999999964,5,0.09999999999999964
2020-12-01 12:49:00,15012.0,Earth Rated Dog Poop Bags,85099B,536522.0,1,11.7,11.7,2020-12-01,Disposables,2.6999999999999993,9,2.6999999999999993
2020-12-01 12:54:00,14078.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536525.0,1,76.5,76.5,2020-12-01,Food,21.5,55,21.5
2020-12-01 12:58:00,14001.0,Earth Rated Dog Poop Bags,85099B,536526.0,2,23.4,11.7,2020-12-01,Disposables,2.6999999999999993,9,5.399999999999999
2020-12-01 13:17:00,15525.0,Rechargeable Pet Nail Grinder,22960,536528.0,1,25.5,25.5,2020-12-01,Grooming,5.5,20,5.5
2020-12-01 13:17:00,15525.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536528.0,1,76.5,76.5,2020-12-01,Food,21.5,55,21.5
2020-12-01 13:21:00,17905.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536530.0,1,76.5,76.5,2020-12-01,Food,21.5,55,21.5
2020-12-01 13:23:00,15485.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536531.0,14,214.2,15.3,2020-12-01,Disposables,-2.6999999999999993,18,-37.79999999999999
2020-12-01 13:24:00,12433.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536532.0,2,47.4,23.7,2020-12-01,Grooming,10.7,13,21.4
2020-12-01 13:24:00,12433.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536532.0,12,61.2,5.1,2020-12-01,Food,0.09999999999999964,5,1.1999999999999957
2020-12-01 13:45:00,18144.0,Pet Odor Eliminator,84879,536536.0,14,141.96,10.14,2020-12-01,Cleanig Supplies,2.1400000000000006,8,29.960000000000008
2020-12-01 13:51:00,15922.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536537.0,1,76.5,76.5,2020-12-01,Food,21.5,55,21.5
2020-12-01 13:54:00,14594.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536538.0,1,17.7,17.7,2020-12-01,Disposables,-0.3000000000000007,18,-0.3000000000000007
2020-12-01 14:03:00,15165.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536539.0,1,23.7,23.7,2020-12-01,Grooming,10.7,13,10.7
2020-12-01 14:03:00,15165.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536539.0,1,76.5,76.5,2020-12-01,Food,21.5,55,21.5
2020-12-01 14:11:00,16456.0,Dog and Puppy Pads,85123A,536542.0,6,106.2,17.7,2020-12-01,Disposables,6.699999999999999,11,40.199999999999996
2020-12-01 14:11:00,16456.0,Earth Rated Dog Poop Bags,85099B,536542.0,7,81.9,11.7,2020-12-01,Disposables,2.6999999999999993,9,18.899999999999995
2020-12-01 14:11:00,16456.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536542.0,5,58.5,11.7,2020-12-01,Food,-2.3000000000000007,14,-11.500000000000004
2020-12-01 14:32:00,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536544.0,1,50.82,50.82,2020-12-01,Grooming,37.82,13,37.82
2020-12-01 14:32:00,,Dog and Puppy Pads,85123A,536544.0,1,35.46,35.46,2020-12-01,Disposables,24.46,11,24.46
2020-12-01 14:32:00,,Earth Rated Dog Poop Bags,85099B,536544.0,1,25.26,25.26,2020-12-01,Disposables,16.26,9,16.26
2020-12-01 14:32:00,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536544.0,6,212.76,35.46,2020-12-01,Disposables,17.46,18,104.76
2020-12-01 14:32:00,,Pet Grooming Brush,20725,536544.0,1,25.26,25.26,2020-12-01,Grooming,16.26,9,16.26
2020-12-01 14:32:00,,ProBiotic Supplements for Dogs,79321,536544.0,1,61.02,61.02,2020-12-01,Supplements,32.02,29,32.02
2020-12-01 14:32:00,,Rechargeable Pet Nail Grinder,22960,536544.0,2,101.64,50.82,2020-12-01,Grooming,30.82,20,61.64
2020-12-01 14:32:00,,Sheba Perfect Portions Pat Wet Cat Food,22197,536544.0,1,9.96,9.96,2020-12-01,Food,4.960000000000001,5,4.960000000000001
2020-12-01 14:32:00,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536544.0,7,534.24,76.32,2020-12-01,Food,21.319999999999993,55,149.23999999999995
2020-12-01 14:41:00,17841.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536557.0,1,23.7,23.7,2020-12-01,Grooming,10.7,13,10.7
2020-12-01 14:41:00,17841.0,NexGard Chew for Dogs,82484,536557.0,1,38.7,38.7,2020-12-01,Food,1.7000000000000028,37,1.7000000000000028
2020-12-01 14:41:00,17841.0,ProBiotic Supplements for Dogs,79321,536557.0,4,102.0,25.5,2020-12-01,Supplements,-3.5,29,-14.0
2020-12-01 15:00:00,13093.0,ProBiotic Supplements for Dogs,79321,536560.0,8,204.0,25.5,2020-12-01,Supplements,-3.5,29,-28.0
2020-12-01 15:00:00,13093.0,Rechargeable Pet Nail Grinder,22960,536560.0,2,45.0,22.5,2020-12-01,Grooming,2.5,20,5.0
2020-12-01 15:08:00,13468.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536562.0,1,76.5,76.5,2020-12-01,Food,21.5,55,21.5
2020-12-01 15:35:00,16274.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536569.0,1,17.7,17.7,2020-12-01,Disposables,-0.3000000000000007,18,-0.3000000000000007
2020-12-01 16:01:00,13777.0,Dog and Puppy Pads,85123A,536575.0,22,336.6,15.3,2020-12-01,Disposables,4.300000000000001,11,94.60000000000002
2020-12-01 16:01:00,13777.0,Earth Rated Dog Poop Bags,85099B,536575.0,12,118.8,9.9,2020-12-01,Disposables,0.9000000000000004,9,10.800000000000004
2020-12-01 16:11:00,13777.0,Dog and Puppy Pads,85123A,536576.0,22,336.6,15.3,2020-12-01,Disposables,4.300000000000001,11,94.60000000000002
2020-12-01 16:11:00,13777.0,Earth Rated Dog Poop Bags,85099B,536576.0,5,49.5,9.9,2020-12-01,Disposables,0.9000000000000004,9,4.500000000000002
2020-12-01 16:13:00,13777.0,Pet Grooming Brush,20725,536577.0,10,87.0,8.7,2020-12-01,Grooming,-0.3000000000000007,9,-3.000000000000007
2020-12-01 16:19:00,13777.0,Earth Rated Dog Poop Bags,85099B,536581.0,34,336.6,9.9,2020-12-01,Disposables,0.9000000000000004,9,30.600000000000012
2020-12-01 16:33:00,14142.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536587.0,1,23.7,23.7,2020-12-01,Grooming,10.7,13,10.7
2020-12-01 16:49:00,17069.0,Rechargeable Pet Nail Grinder,22960,536588.0,1,25.5,25.5,2020-12-01,Grooming,5.5,20,5.5
2020-12-01 16:52:00,13065.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536590.0,1,23.7,23.7,2020-12-01,Grooming,10.7,13,10.7
2020-12-01 16:52:00,13065.0,Dog and Puppy Pads,85123A,536590.0,1,17.7,17.7,2020-12-01,Disposables,6.699999999999999,11,6.699999999999999
2020-12-01 16:57:00,14606.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536591.0,1,11.7,11.7,2020-12-01,Food,-2.3000000000000007,14,-2.3000000000000007
2020-12-01 17:06:00,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536592.0,1,50.82,50.82,2020-12-01,Grooming,37.82,13,37.82
2020-12-01 17:06:00,,Dog and Puppy Pads,85123A,536592.0,2,70.92,35.46,2020-12-01,Disposables,24.46,11,48.92
2020-12-01 17:06:00,,Earth Rated Dog Poop Bags,85099B,536592.0,1,25.26,25.26,2020-12-01,Disposables,16.26,9,16.26
2020-12-01 17:06:00,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536592.0,4,141.84,35.46,2020-12-01,Disposables,17.46,18,69.84
2020-12-01 17:06:00,,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536592.0,1,25.26,25.26,2020-12-01,Food,11.260000000000002,14,11.260000000000002
2020-12-01 17:06:00,,Pet Grooming Brush,20725,536592.0,1,25.26,25.26,2020-12-01,Grooming,16.26,9,16.26
2020-12-01 17:06:00,,Pet Odor Eliminator,84879,536592.0,2,38.28,19.14,2020-12-01,Cleanig Supplies,11.14,8,22.28
2020-12-01 17:06:00,,ProBiotic Supplements for Dogs,79321,536592.0,1,61.02,61.02,2020-12-01,Supplements,32.02,29,32.02
2020-12-01 17:06:00,,Sheba Perfect Portions Pat Wet Cat Food,22197,536592.0,6,59.76,9.96,2020-12-01,Food,4.960000000000001,5,29.760000000000005
2020-12-01 17:06:00,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536592.0,8,610.56,76.32,2020-12-01,Food,21.319999999999993,55,170.55999999999995
2020-12-01 17:22:00,15235.0,Dog and Puppy Pads,85123A,536594.0,1,17.7,17.7,2020-12-01,Disposables,6.699999999999999,11,6.699999999999999
2020-12-01 17:24:00,13576.0,Canned Cat Food,21137,536595.0,10,203.4,20.34,2020-12-01,Food,-0.6600000000000001,21,-6.600000000000001
2020-12-01 17:29:00,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536596.0,1,23.7,23.7,2020-12-01,Grooming,10.7,13,10.7
2020-12-01 17:35:00,18011.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536597.0,1,17.7,17.7,2020-12-01,Disposables,-0.3000000000000007,18,-0.3000000000000007
2020-12-01 17:35:00,18011.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536597.0,1,5.1,5.1,2020-12-01,Food,0.09999999999999964,5,0.09999999999999964
2020-12-02 08:32:00,17850.0,Dog and Puppy Pads,85123A,536600.0,1,15.3,15.3,2020-12-02,Disposables,4.300000000000001,11,4.300000000000001
2020-12-02 08:34:00,17850.0,Dog and Puppy Pads,85123A,536602.0,1,15.3,15.3,2020-12-02,Disposables,4.300000000000001,11,4.300000000000001
2020-12-02 09:29:00,17732.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536607.0,1,23.7,23.7,2020-12-02,Grooming,10.7,13,10.7
2020-12-02 09:29:00,17732.0,Dog and Puppy Pads,85123A,536607.0,1,17.7,17.7,2020-12-02,Disposables,6.699999999999999,11,6.699999999999999
2020-12-02 09:29:00,17732.0,Earth Rated Dog Poop Bags,85099B,536607.0,2,23.4,11.7,2020-12-02,Disposables,2.6999999999999993,9,5.399999999999999
2020-12-02 09:29:00,17732.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536607.0,2,23.4,11.7,2020-12-02,Food,-2.3000000000000007,14,-4.600000000000001
2020-12-02 09:29:00,17732.0,Pet Odor Eliminator,84879,536607.0,2,20.28,10.14,2020-12-02,Cleanig Supplies,2.1400000000000006,8,4.280000000000001
2020-12-02 09:29:00,17732.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536607.0,1,76.5,76.5,2020-12-02,Food,21.5,55,21.5
2020-12-02 09:41:00,17850.0,Dog and Puppy Pads,85123A,536609.0,1,15.3,15.3,2020-12-02,Disposables,4.300000000000001,11,4.300000000000001
2020-12-02 09:44:00,17850.0,Dog and Puppy Pads,85123A,536612.0,1,15.3,15.3,2020-12-02,Disposables,4.300000000000001,11,4.300000000000001
2020-12-02 10:10:00,17925.0,Canned Cat Food,21137,536616.0,12,244.08,20.34,2020-12-02,Food,-0.6600000000000001,21,-7.920000000000002
2020-12-02 10:17:00,13941.0,ProBiotic Supplements for Dogs,79321,536617.0,4,102.0,25.5,2020-12-02,Supplements,-3.5,29,-14.0
2020-12-02 10:17:00,17017.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536618.0,8,40.8,5.1,2020-12-02,Food,0.09999999999999964,5,0.7999999999999972
2020-12-02 10:18:00,17017.0,Rechargeable Pet Nail Grinder,22960,536619.0,2,45.0,22.5,2020-12-02,Grooming,2.5,20,5.0
2020-12-02 10:53:00,15658.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536627.0,1,76.5,76.5,2020-12-02,Food,21.5,55,21.5
2020-12-02 10:54:00,17850.0,Dog and Puppy Pads,85123A,536628.0,1,15.3,15.3,2020-12-02,Disposables,4.300000000000001,11,4.300000000000001
2020-12-02 10:56:00,17850.0,Dog and Puppy Pads,85123A,536630.0,1,15.3,15.3,2020-12-02,Disposables,4.300000000000001,11,4.300000000000001
2020-12-02 11:02:00,14388.0,Earth Rated Dog Poop Bags,85099B,536632.0,2,23.4,11.7,2020-12-02,Disposables,2.6999999999999993,9,5.399999999999999
2020-12-02 11:02:00,14388.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536632.0,2,23.4,11.7,2020-12-02,Food,-2.3000000000000007,14,-4.600000000000001
2020-12-02 11:20:00,14901.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536633.0,2,35.4,17.7,2020-12-02,Disposables,-0.3000000000000007,18,-0.6000000000000014
2020-12-02 11:20:00,14901.0,Rechargeable Pet Nail Grinder,22960,536633.0,1,25.5,25.5,2020-12-02,Grooming,5.5,20,5.5
2020-12-02 11:22:00,15955.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536635.0,2,47.4,23.7,2020-12-02,Grooming,10.7,13,21.4
2020-12-02 11:22:00,15955.0,Indoor Pet Camera (Wi-Fi),22502,536635.0,2,71.4,35.7,2020-12-02,Electronics,-7.299999999999997,43,-14.599999999999994
2020-12-02 11:23:00,15070.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536636.0,6,106.2,17.7,2020-12-02,Disposables,-0.3000000000000007,18,-1.8000000000000043
2020-12-02 11:35:00,18041.0,Rechargeable Pet Nail Grinder,22960,536637.0,1,25.5,25.5,2020-12-02,Grooming,5.5,20,5.5
2020-12-02 11:35:00,18041.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536637.0,1,5.1,5.1,2020-12-02,Food,0.09999999999999964,5,0.09999999999999964
2020-12-02 11:41:00,16244.0,Indoor Pet Camera (Wi-Fi),22502,536638.0,1,35.7,35.7,2020-12-02,Electronics,-7.299999999999997,43,-7.299999999999997
2020-12-02 11:57:00,14390.0,Earth Rated Dog Poop Bags,85099B,536643.0,1,11.7,11.7,2020-12-02,Disposables,2.6999999999999993,9,2.6999999999999993
2020-12-02 12:09:00,15260.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536667.0,2,35.4,17.7,2020-12-02,Disposables,-0.3000000000000007,18,-0.6000000000000014
2020-12-02 12:09:00,15260.0,ProBiotic Supplements for Dogs,79321,536667.0,1,29.7,29.7,2020-12-02,Supplements,0.6999999999999993,29,0.6999999999999993
2020-12-02 12:09:00,15260.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536667.0,1,76.5,76.5,2020-12-02,Food,21.5,55,21.5
2020-12-02 12:22:00,17287.0,Pet Odor Eliminator,84879,536681.0,2,20.28,10.14,2020-12-02,Cleanig Supplies,2.1400000000000006,8,4.280000000000001
2020-12-02 12:22:00,17287.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536681.0,1,76.5,76.5,2020-12-02,Food,21.5,55,21.5
2020-12-02 12:23:00,17850.0,Dog and Puppy Pads,85123A,536685.0,2,30.6,15.3,2020-12-02,Disposables,4.300000000000001,11,8.600000000000001
2020-12-02 12:25:00,17850.0,Dog and Puppy Pads,85123A,536690.0,1,15.3,15.3,2020-12-02,Disposables,4.300000000000001,11,4.300000000000001
2020-12-02 12:33:00,12915.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536707.0,1,76.5,76.5,2020-12-02,Food,21.5,55,21.5
2020-12-02 12:47:00,15544.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536732.0,1,17.7,17.7,2020-12-02,Disposables,-0.3000000000000007,18,-0.3000000000000007
2020-12-02 12:47:00,15544.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536732.0,1,76.5,76.5,2020-12-02,Food,21.5,55,21.5
2020-12-02 13:11:00,13117.0,Pet Odor Eliminator,84879,536741.0,2,20.28,10.14,2020-12-02,Cleanig Supplies,2.1400000000000006,8,4.280000000000001
2020-12-02 13:14:00,16916.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536742.0,1,17.7,17.7,2020-12-02,Disposables,-0.3000000000000007,18,-0.3000000000000007
2020-12-02 13:36:00,14466.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536744.0,1,76.5,76.5,2020-12-02,Food,21.5,55,21.5
2020-12-02 13:49:00,17976.0,Dog and Puppy Pads,85123A,536749.0,1,17.7,17.7,2020-12-02,Disposables,6.699999999999999,11,6.699999999999999
2020-12-02 13:49:00,17976.0,Pet Odor Eliminator,84879,536749.0,1,10.14,10.14,2020-12-02,Cleanig Supplies,2.1400000000000006,8,2.1400000000000006
2020-12-02 14:04:00,17850.0,Dog and Puppy Pads,85123A,536750.0,2,30.6,15.3,2020-12-02,Disposables,4.300000000000001,11,8.600000000000001
2020-12-02 14:06:00,17850.0,Dog and Puppy Pads,85123A,536752.0,1,15.3,15.3,2020-12-02,Disposables,4.300000000000001,11,4.300000000000001
2020-12-02 14:09:00,14449.0,Canned Cat Food,21137,536754.0,1,22.5,22.5,2020-12-02,Food,1.5,21,1.5
2020-12-02 14:09:00,14449.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536754.0,1,5.1,5.1,2020-12-02,Food,0.09999999999999964,5,0.09999999999999964
2020-12-02 14:23:00,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536756.0,1,17.7,17.7,2020-12-02,Disposables,-0.3000000000000007,18,-0.3000000000000007
